training_env,policy_name,algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate
svar,ppo_svar_direct_nonlinear,ppo,43,0,-209.72655088090616,0.0,3.4765828294912353,-143.34828020188388,95.06319754324929,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,10,-194.2652369843404,0.0,3.505152815603651,-119.41892427051691,81.83247861697758,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,20,-193.9908286977837,0.0,3.00889039109461,-171.26428364393655,118.21922943053053,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,30,-183.2634647584292,0.0,2.957313320133835,-144.6061131191497,100.49909567580146,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,40,-140.21319006478436,0.0,3.1227854577591643,-148.80981322253382,107.17902926284845,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,50,-203.24971853381916,0.0,2.8843954318435863,-155.07246667961564,106.50872687981752,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,60,-192.0869646117767,0.0,2.9629484153119847,-158.1219217677204,108.72635183467702,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,70,-184.0331733490971,0.0,3.3080393618438393,-139.15937693730723,94.8748802795923,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,80,-165.74298061825422,0.0,3.18771063152235,-133.5413552077588,90.30491856807528,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,90,-160.29667926466874,0.0,3.4384230440482497,-124.7821508498366,84.52855285066198,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,100,-169.13984971967307,0.0,3.7503405921161175,-120.97682792346473,83.73061485906011,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,110,-160.57251878199858,0.0,3.536898559308611,-120.38707514108481,82.07215286567026,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,120,-164.27184031301218,0.0,3.69383831275627,-121.0932820834296,82.7778890906595,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,130,-156.5424362156229,0.0,3.393440169747919,-116.25514097406831,81.65116480818276,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,140,-133.84747318704618,0.0,3.4303155288798735,-115.14792293849582,81.84579089535738,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,150,-148.31552734574592,0.0,3.128691789577715,-128.87449392494634,90.9012913545018,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,160,-153.53186368675333,0.0,3.282681080396287,-109.93143434992824,76.74404026314191,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,170,-156.1284292814071,0.0,3.336202561040409,-113.82543771533791,80.12516726202094,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,180,-138.53349069362523,0.0,3.3651688096579164,-129.5707019813862,93.76426030350515,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,190,-147.42332022486963,0.0,3.7137006263947114,-103.00670588887232,73.51194624189293,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,200,-144.56041464793304,0.0,3.7149049369618297,-102.12151582829873,68.8118001317034,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,210,-130.88016609216095,0.0,3.888684295467101,-113.49289732574528,78.4056609921941,0.0
svar,ppo_svar_direct_nonlinear,ppo,43,219,-175.31916531997916,0.0,4.106713249231689,-105.75270371373296,72.79372731622412,0.0
