evaluation_env,policy_name,total_discounted_revealed_loss,mean_period_revealed_loss
ann,td3_ann_revealed_direct,186.23072070179455,3.3391428484478083
ann,ppo_svar_direct,206.4909792323561,3.769422704801121
ann,ppo_svar_direct_linear,206.4909792323561,3.769422704801121
ann,sac_ann_revealed_direct,207.6990487171229,3.8010447986284617
ann,sac_svar_revealed_direct,211.2757172303157,3.9179118160706072
ann,ppo_ann_direct_nonlinear,284.8104863311163,5.206340342823108
ann,empirical_taylor_rule,285.3521688600022,5.250908637394475
ann,ppo_ann_direct,376.38234812084505,6.476421037604082
ann,ppo_ann_direct_linear,376.38234812084505,6.476421037604082
ann,ppo_svar_revealed_direct,398.1940382311353,7.297577674275116
ann,ppo_svar_direct_nonlinear,462.658455634859,8.217678219434488
ann,historical_actual_policy,483.77159580168563,9.279744774158907
ann,ppo_ann_revealed_direct,484.7600767999906,9.039907820813497
ann,ppo_svar_revealed_direct_nonlinear,549.0247665618075,9.784313813387788
ann,ppo_benchmark_transfer,574.5962546453437,10.353013346347506
ann,ppo_ann_revealed_direct_nonlinear,598.7210207317124,10.665660528894879
ann,td3_svar_revealed_direct,700.0034482778622,13.686133840618691
ann,linear_policy_search_transfer,835.3781984827833,15.414638400028815
ann,riccati_reference,1012.9869297315619,18.467273390014917
ann,sac_benchmark_transfer,1014.503607149291,18.68387548257209
ann,td3_benchmark_transfer,1053.461790505682,19.32174486771336
ann,sac_svar_direct,1365.2183708312534,25.432444496204145
ann,td3_ann_direct,2216.4376329644215,40.47642669162481
ann,td3_svar_direct,2471.020489118529,44.937371013254335
ann,sac_ann_direct,2907.208318379312,52.16946196943537
svar,ppo_svar_direct,134.66163350624217,2.405494281719965
svar,ppo_svar_direct_linear,134.66163350624217,2.405494281719965
svar,sac_svar_revealed_direct,148.76018118879807,2.6800503099992925
svar,sac_ann_revealed_direct,153.0266427599633,2.7971801233453037
svar,ppo_ann_direct_nonlinear,243.2298297032033,4.3383179693290215
svar,td3_ann_revealed_direct,246.7537163491532,4.349786022086324
svar,empirical_taylor_rule,254.73763914988257,4.822381329525352
svar,ppo_svar_direct_nonlinear,300.9491640253483,5.293134479015112
svar,td3_svar_revealed_direct,320.306081044683,5.670292544414273
svar,ppo_ann_revealed_direct,338.83708424596784,6.061568483953751
svar,historical_actual_policy,375.369516433201,6.712488919600234
svar,ppo_svar_revealed_direct,388.47496130067816,7.4459902438108605
svar,ppo_ann_direct,440.0617156969578,7.099006070877067
svar,ppo_ann_direct_linear,440.0617156969578,7.099006070877067
svar,ppo_svar_revealed_direct_nonlinear,465.0477282013617,8.401597044616697
svar,ppo_benchmark_transfer,488.71414169734294,7.717318129142653
svar,ppo_ann_revealed_direct_nonlinear,505.2351672012962,9.099187902266001
svar,linear_policy_search_transfer,691.1144695027313,12.292780260752311
svar,sac_ann_direct,786.702657214258,12.903607731178516
svar,td3_ann_direct,793.3077207497594,13.619890568363706
svar,sac_benchmark_transfer,799.3786631657549,14.31632862046055
svar,sac_svar_direct,858.1902343339616,14.503397335578086
svar,riccati_reference,903.7824285633208,15.95331658979473
svar,td3_benchmark_transfer,989.7642279608447,17.23223057017801
svar,td3_svar_direct,1160.1592445507854,22.187401578599562
